EUR_GerProducerPriceIndex;20171020;06:00;Producer Price Index (MoM);Germany;EUR;2
JPY_CentralBankSpeech;20171020;06:35;BoJ Governor Kuroda speech;Japan;JPY;2
DKK_RetailSales;20171020;07:00;Retail Sales (YoY);Denmark;DKK;1
EUR_EurCurrentAccount;20171020;08:00;Current Account s.a;European Monetary Union;EUR;1
GBP_PublicSectorNetBorrowing;20171020;08:30;Public Sector Net Borrowing;United Kingdom;GBP;2
EUR_EurEuropeanCouncilMeeting;20171020;10:00;European Council Meeting;European Monetary Union;EUR;2
INR_FXReservesUSD;20171020;11:30;FX Reserves, USD;India;INR;1
BRL_MidmonthInflation;20171020;12:00;Mid-month Inflation;Brazil;BRL;1
CAD_RetailSales;20171020;12:30;Retail Sales ex Autos (MoM);Canada;CAD;1
CAD_ConsumerPriceIndex;20171020;12:30;Consumer Price Index - Core (MoM);Canada;CAD;2
MXN_JoblessRate;20171020;13:00;Jobless Rate s.a;Mexico;MXN;1
USD_ExistingHomeSales;20171020;14:00;Existing Home Sales (MoM);United States;USD;1
USD_ExistingHomeSalesChange;20171020;14:00;Existing Home Sales Change (MoM);United States;USD;1
USD_BakerHughesUSOilRigCount;20171020;17:00;Baker Hughes US Oil Rig Count;United States;USD;2
USD_MonthlyBudgetStatement;20171020;18:00;Monthly Budget Statement;United States;USD;2
USD_CFTCOilNCNetPositions;20171020;19:30;CFTC Oil NC Net Positions;United States;USD;1
GBP_CFTCGBPNCNetPositions;20171020;19:30;CFTC GBP NC Net Positions;United Kingdom;GBP;1
USD_CFTCGoldNCNetPositions;20171020;19:30;CFTC Gold NC Net Positions;United States;USD;1
JPY_CFTCJPYNCNetPositions;20171020;19:30;CFTC JPY NC Net Positions;Japan;JPY;1
USD_CFTCS&P500NCNetPositions;20171020;19:30;CFTC S&P 500 NC Net Positions;United States;USD;1
EUR_EurCFTCEURNCNetPositions;20171020;19:30;CFTC EUR NC Net Positions;European Monetary Union;EUR;1
AUD_CFTCAUDNCNetPositions;20171020;19:30;CFTC AUD NC Net Positions;Australia;AUD;1
USD_CentralBankSpeech;20171020;23:30;Fed Chair Yellen speech;United States;USD;3
