EUR_GerIFO–BusinessClimate;20170327;08:00;IFO – Business Climate;Germany;EUR;2
EUR_GerIFO–CurrentAssessment;20170327;08:00;IFO – Current Assessment;Germany;EUR;2
EUR_GerIFO–Expectations;20170327;08:00;IFO – Expectations;Germany;EUR;2
EUR_EurPrivateLoans;20170327;08:00;Private Loans (YoY);European Monetary Union;EUR;1
EUR_EurM3MoneySupply;20170327;08:00;M3 Money Supply (3m);European Monetary Union;EUR;1
TRY_ManufacturingConfidence;20170327;11:30;Manufacturing Confidence;Turkey;TRY;1
TRY_CapacityUtilization;20170327;11:30;Capacity Utilization;Turkey;TRY;1
MXN_TradeBalancesa;20170327;13:00;Trade Balance s/a, $;Mexico;MXN;1
MXN_TradeBalance;20170327;13:00;Trade Balance, $;Mexico;MXN;1
USD_DallasFedManufacturingBusinessIndex;20170327;14:30;Dallas Fed Manufacturing Business Index;United States;USD;2
USD_Auction;20170327;17:00;2-Year Note Auction;United States;USD;1
EUR_EurCentralBankSpeech;20170327;17:15;ECB Praet speech;European Monetary Union;EUR;1
AUD_CentralBankSpeech;20170327;22:00;RBA Debelle speech;Australia;AUD;1
USD_CentralBankSpeech;20170327;22:30;Fed Kaplan speech;United States;USD;1
KRW_GrossDomesticProduct;20170327;23:00;Gross Domestic Product Growth (QoQ) ;South Korea;KRW;1
