AUD_BuildingPermits;20181030;00:30;Building Permits (YoY);Australia;AUD;1
AUD_CentralBankSpeech;20181030;02:10;RBA Bullock speech;Australia;AUD;2
NOK_CreditIndicator;20181030;06:00;Credit Indicator;Norway;NOK;1
EUR_FraGrossDomesticProduct;20181030;06:30;Gross Domestic Product (QoQ);France;EUR;1
DKK_IndustrialOutlook;20181030;07:00;Industrial Outlook;Denmark;DKK;1
NOK_RetailSales;20181030;07:00;Retail Sales ;Norway;NOK;1
EUR_FraConsumerSpending;20181030;07:45;Consumer Spending (MoM);France;EUR;1
CHF_KOFLeadingIndicator;20181030;08:00;KOF Leading Indicator;Switzerland;CHF;2
HUF_UnemploymentRate;20181030;08:00;Unemployment Rate (3M);Hungary;HUF;1
EUR_GerUnemploymentChange;20181030;08:55;Unemployment Change;Germany;EUR;2
EUR_GerUnemploymentRate;20181030;08:55;Unemployment Rate s.a.;Germany;EUR;2
EUR_ItaGrossDomesticProduct;20181030;09:00;Gross Domestic Product (YoY);Italy;EUR;2
ZAR_UnemploymentRate;20181030;09:30;Unemployment Rate (%);South Africa;ZAR;1
ZAR_UnemploymentTotal;20181030;09:30;Unemployment Total ;South Africa;ZAR;1
EUR_EurGrossDomesticProduct;20181030;10:00;Gross Domestic Product s.a. (YoY);European Monetary Union;EUR;3
EUR_ItaConsumerConfidence;20181030;10:00;Consumer Confidence;Italy;EUR;1
EUR_ItaBusinessConfidence;20181030;10:00;Business Confidence;Italy;EUR;1
EUR_EurServicesSentiment;20181030;10:00;Services Sentiment;European Monetary Union;EUR;1
EUR_EurConsumerConfidence;20181030;10:00;Consumer Confidence;European Monetary Union;EUR;1
EUR_EurEconomicSentimentIndicator;20181030;10:00;Economic Sentiment Indicator;European Monetary Union;EUR;1
EUR_EurBusinessClimate;20181030;10:00;Business Climate;European Monetary Union;EUR;2
EUR_EurIndustrialConfidence;20181030;10:00;Industrial Confidence;European Monetary Union;EUR;1
EUR_ItaAuction;20181030;10:48;10-y Bond Auction;Italy;EUR;1
BRL_InflationIndexIGPM;20181030;11:00;Inflation Index/IGP-M;Brazil;BRL;1
GBP_CBIDistributiveTradesSurvey–Realized;20181030;11:00;CBI Distributive Trades Survey – Realized (MoM);United Kingdom;GBP;1
BRL_UnemploymentRate;20181030;12:00;Unemployment Rate;Brazil;BRL;1
USD_RedbookIndex;20181030;12:55;Redbook Index (YoY);United States;USD;1
USD_S&PCaseShillerHomePriceIndices;20181030;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
EUR_GerConsumerPriceIndex;20181030;13:00;Consumer Price Index (MoM);Germany;EUR;1
EUR_GerHarmonizedIndexofConsumerPrices;20181030;13:00;Harmonized Index of Consumer Prices (YoY);Germany;EUR;3
USD_ConsumerConfidence;20181030;14:00;Consumer Confidence;United States;USD;2
MXN_GrossDomesticProduct;20181030;14:00;Gross Domestic Product (QoQ);Mexico;MXN;1
USD_Auction;20181030;15:30;4-Week Bill Auction;United States;USD;1
MXN_FiscalBalancepesos;20181030;19:00;Fiscal Balance, pesos;Mexico;MXN;1
CAD_CentralBankSpeech;20181030;19:30;BoC Governor Poloz speech;Canada;CAD;3
USD_APIWeeklyCrudeOilStock;20181030;20:30;API Weekly Crude Oil Stock;United States;USD;1
NZD_BuildingPermits;20181030;21:45;Building Permits s.a. (MoM);New Zealand;NZD;2
KRW_IndustrialOutputGrowth;20181030;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_ServiceSectorOutput;20181030;23:00;Service Sector Output;South Korea;KRW;1
KRW_IndustrialOutput;20181030;23:00;Industrial Output (YoY);South Korea;KRW;1
JPY_IndustrialProduction;20181030;23:50;Industrial Production (YoY);Japan;JPY;1
