CNY_Exports;20181208;02:00;Exports (YoY) CNY;China;CNY;2
CNY_Imports;20181208;02:00;Imports (YoY) CNY;China;CNY;2
CNY_TradeBalanceCNY;20181208;02:00;Trade Balance CNY;China;CNY;2
CNY_TradeBalanceUSD;20181208;02:00;Trade Balance USD;China;CNY;2
EUR_ItaImmaculateConceptionDay;20181208;00:00;Immaculate Conception Day;Italy;EUR;0
ARS_ImmaculateConception;20181208;00:00;Immaculate Conception;Argentina;ARS;0
COP_ImmaculateConception;20181208;00:00;Immaculate Conception;Colombia;COP;0
EUR_PorImmaculateConceptionDay;20181208;00:00;Immaculate Conception Day;Portugal;EUR;0
CLP_ImmaculateConception;20181208;00:00;Immaculate Conception;Chile;CLP;0
EUR_AusImmaculateConception;20181208;00:00;Immaculate Conception ;Austria;EUR;0
