AUD_WestpacConsumerConfidenceIndex;20170117;23:30;Westpac Consumer Confidence Index;Australia;AUD;1
AUD_WestpacConsumerConfidence;20170117;23:30;Westpac Consumer Confidence;Australia;AUD;2
USD_CentralBankSpeech;20170117;23:00;Fed Williams speech;United States;USD;2
USD_Auction;20170117;16:30;4-Week Bill Auction;United States;USD;1
NZD_GDTPriceIndex;20170117;14:40;GDT Price Index;New Zealand;NZD;1
USD_NYEmpireStateManufacturingIndex;20170117;13:30;NY Empire State Manufacturing Index;United States;USD;1
GBP_CentralBankSpeech;20170117;11:45;UK Prime Minister Theresa May speech;United Kingdom;GBP;3
EUR_SpaAuction;20170117;10:12;12-Month Letras Auction;Spain;EUR;1
EUR_GerZEWSurveyEconomicSentiment;20170117;10:00;ZEW Survey - Economic Sentiment;Germany;EUR;2
EUR_EurZEWSurveyEconomicSentiment;20170117;10:00;ZEW Survey - Economic Sentiment;European Monetary Union;EUR;2
EUR_GerZEWSurveyCurrentSituation;20170117;10:00;ZEW Survey - Current Situation;Germany;EUR;3
GBP_RetailPriceIndex;20170117;09:30;Retail Price Index (MoM);United Kingdom;GBP;1
GBP_DCLGHousePriceIndex;20170117;09:30;DCLG House Price Index (YoY);United Kingdom;GBP;1
GBP_ProducerPriceIndex;20170117;09:30;Producer Price Index - Output (YoY) n.s.a;United Kingdom;GBP;2
GBP_PPICoreOutput;20170117;09:30;PPI Core Output (MoM) n.s.a;United Kingdom;GBP;2
GBP_ConsumerPriceIndex;20170117;09:30;Core Consumer Price Index (YoY);United Kingdom;GBP;3
EUR_ItaTradeBalanceEU;20170117;09:00;Trade Balance EU;Italy;EUR;1
EUR_ItaGlobalTradeBalance;20170117;09:00;Global Trade Balance;Italy;EUR;1
EUR_FraBudget;20170117;08:29;Budget;France;EUR;1
JPY_IndustrialProduction;20170117;04:30;Industrial Production (MoM);Japan;JPY;2
JPY_CapacityUtilization;20170117;04:30;Capacity Utilization;Japan;JPY;1
AUD_InvestmentLendingforHomes;20170117;00:30;Investment Lending for Homes;Australia;AUD;2
AUD_HomeLoans;20170117;00:30;Home Loans;Australia;AUD;2
AUD_NewMotorVehicleSales;20170117;00:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
CHF_WorldEconomicForumDavos;20170117;00:00;World Economic Forum - Davos;Switzerland;CHF;2
KRW_TradeBalance;20170117;00:00;Trade Balance;South Korea;KRW;1
