JPY_OverallHouseholdSpending;20180604;23:30;Overall Household Spending (YoY);Japan;JPY;2
GBP_RetailSales;20180604;23:01;BRC Like-For-Like Retail Sales (YoY);United Kingdom;GBP;2
EUR_IreConsumerConfidence;20180604;23:01;Consumer Confidence;Ireland;EUR;1
KRW_CurrentAccount;20180604;23:00;Current Account Balance;South Korea;KRW;1
AUD_AiGPerformanceofServicesIndex;20180604;22:30;AiG Performance of Services Index;Australia;AUD;1
KRW_FXReserves;20180604;21:00;FX Reserves;South Korea;KRW;1
GBP_CentralBankSpeech;20180604;17:00;BoE Tenreyro speech;United Kingdom;GBP;2
USD_Auction;20180604;15:30;6-Month Bill Auction;United States;USD;1
DKK_CurrencyReserves;20180604;14:00;Currency Reserves;Denmark;DKK;1
USD_FactoryOrders;20180604;14:00;Factory Orders (MoM);United States;USD;2
USD_ISMNYBusinessConditionsIndex;20180604;13:45;ISM-NY Business Conditions Index;United States;USD;1
SGD_PurchasingManagersIndex;20180604;13:00;Purchasing Managers Index;Singapore;SGD;1
EUR_EurProducerPriceIndex;20180604;09:00;Producer Price Index (MoM);European Monetary Union;EUR;1
EUR_GreGrossDomesticProduct;20180604;09:00;Gross Domestic Product s.a (YoY);Greece;EUR;1
EUR_EurSentixInvestorConfidence;20180604;08:30;Sentix Investor Confidence;European Monetary Union;EUR;1
GBP_MarkitConstructionPMI;20180604;08:30;Markit Construction PMI;United Kingdom;GBP;2
SEK_CurrentAccount;20180604;07:30;Current Account (QoQ);Sweden;SEK;1
CHF_EmploymentLevel;20180604;07:15;Employment Level (QoQ);Switzerland;CHF;1
TRY_ProducerPriceIndex;20180604;07:00;Producer Price Index (YoY);Turkey;TRY;1
TRY_ConsumerPriceIndex;20180604;07:00;Consumer Price Index (YoY);Turkey;TRY;1
EUR_SpaUnemploymentChange;20180604;07:00;Unemployment Change;Spain;EUR;1
IDR_CoreInflation;20180604;04:00;Core Inflation (YoY);Indonesia;IDR;1
IDR_Inflation;20180604;04:00;Inflation (YoY);Indonesia;IDR;1
AUD_CompanyGrossOperatingProfits;20180604;01:30;Company Gross Operating Profits (QoQ);Australia;AUD;1
AUD_ANZJobAdvertisements;20180604;01:30;ANZ Job Advertisements;Australia;AUD;1
AUD_RetailSales;20180604;01:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_TDSecuritiesInflation;20180604;01:00;TD Securities Inflation (MoM);Australia;AUD;1
NZD_QueenBirthday;20180604;00:00;Queen Birthday;New Zealand;NZD;0
EUR_IreJuneHoliday;20180604;00:00;June Holiday ;Ireland;EUR;0
COP_CorpusChristi;20180604;00:00;Corpus Christi;Colombia;COP;0
