USD_BakerHughesUSOilRigCount;20151231;19:00;Baker Hughes US Oil Rig Count;United States;USD;2
USD_EIANaturalGasStorageChange;20151231;15:30;EIA Natural Gas Storage Change;United States;USD;1
USD_ChicagoPurchasingManagers'Index;20151231;14:45;Chicago Purchasing Managers' Index;United States;USD;2
USD_JoblessClaims;20151231;13:30;Initial Jobless Claims;United States;USD;2
RUB_CentralBankReserves;20151231;11:00;Central Bank Reserves $;Russia;RUB;1
INR_FederalFiscalDeficitINR;20151231;10:30;Federal Fiscal Deficit, INR;India;INR;1
EUR_GreRetailSales;20151231;10:00;Retail Sales (YoY);Greece;EUR;1
CZK_M2MoneySupply;20151231;09:00;M2 Money Supply (YoY);Czech Republic;CZK;1
TRY_TradeBalance;20151231;08:00;Trade Balance;Turkey;TRY;1
INR_InfrastructureOutput;20151231;06:30;Infrastructure Output (YoY);India;INR;1
RUB_PurchasingManagerIndexServices;20151231;06:00;Purchasing Manager Index Services;Russia;RUB;1
ZAR_PrivateSectorCredit;20151231;06:00;Private Sector Credit;South Africa;ZAR;1
ZAR_M3MoneySupply;20151231;06:00;M3 Money Supply (YoY);South Africa;ZAR;1
AUD_PrivateSectorCredit;20151231;00:30;Private Sector Credit (YoY);Australia;AUD;1
JPY_BankHoliday;20151231;00:00;Bank Holiday;Japan;JPY;0
DKK_NewyearsEve;20151231;00:00;New years Eve;Denmark;DKK;0
SEK_NewYearsEve;20151231;00:00;New Years Eve;Sweden;SEK;0
