JPY_MonetaryBase;20180501;23:50;Monetary Base (YoY);Japan;JPY;1
GBP_BRCShopPriceIndex;20180501;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
KRW_ConsumerPriceIndex;20180501;23:00;Consumer Price Index Growth (MoM);South Korea;KRW;1
NZD_ParticipationRate;20180501;22:45;Participation Rate;New Zealand;NZD;2
NZD_UnemploymentRate;20180501;22:45;Unemployment Rate;New Zealand;NZD;3
NZD_EmploymentChange;20180501;22:45;Employment Change;New Zealand;NZD;3
NZD_LabourCostIndex;20180501;22:45;Labour Cost Index (QoQ);New Zealand;NZD;2
USD_APIWeeklyCrudeOilStock;20180501;20:30;API Weekly Crude Oil Stock;United States;USD;1
USD_TotalVehicleSales;20180501;19:30;Total Vehicle Sales;United States;USD;1
CAD_CentralBankSpeech;20180501;18:30;BoC Governor Poloz speech;Canada;CAD;3
USD_Auction;20180501;15:30;4-Week Bill Auction;United States;USD;1
NZD_GDTPriceIndex;20180501;14:40;GDT Price Index;New Zealand;NZD;2
USD_ISMManufacturingPMI;20180501;14:00;ISM Manufacturing PMI;United States;USD;2
USD_ISMPricesPaid;20180501;14:00;ISM Prices Paid;United States;USD;2
USD_ConstructionSpending;20180501;14:00;Construction Spending (MoM);United States;USD;1
USD_MarkitManufacturingPMI;20180501;13:45;Markit Manufacturing PMI;United States;USD;1
CAD_MarkitManufacturingPMI;20180501;13:30;Markit Manufacturing PMI;Canada;CAD;2
USD_RedbookIndex;20180501;12:55;Redbook Index (YoY);United States;USD;1
CAD_GrossDomesticProduct;20180501;12:30;Gross Domestic Product (MoM);Canada;CAD;2
AUD_CentralBankSpeech;20180501;10:20;RBA Governor Lowe speech;Australia;AUD;3
GBP_MarkitManufacturingPMI;20180501;08:30;Markit Manufacturing PMI;United Kingdom;GBP;2
GBP_ConsumerCredit;20180501;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20180501;08:30;Mortgage Approvals;United Kingdom;GBP;2
GBP_M4MoneySupply;20180501;08:30;M4 Money Supply (YoY);United Kingdom;GBP;1
AUD_RBACommodityIndexSDR;20180501;06:30;RBA Commodity Index SDR (YoY);Australia;AUD;1
JPY_VehicleSales;20180501;05:00;Vehicle Sales (YoY);Japan;JPY;1
EUR_IrePurchasingManagerIndexManufacturing;20180501;05:00;Purchasing Manager Index Manufacturing;Ireland;EUR;1
AUD_RBAInterestRateDecision;20180501;04:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RBARateStatement;20180501;04:30;RBA Rate Statement;Australia;AUD;3
JPY_NikkeiManufacturingPMI;20180501;00:30;Nikkei Manufacturing PMI;Japan;JPY;1
EUR_GerLabourDay;20180501;00:01;Labour Day;Germany;EUR;0
ZAR_WorkersDay;20180501;00:00;Workers Day;South Africa;ZAR;0
SGD_Labourday;20180501;00:00;Labour day;Singapore;SGD;0
EUR_FraLabourDay;20180501;00:00;Labour Day ;France;EUR;0
EUR_PorLabourDay;20180501;00:00;Labour Day;Portugal;EUR;0
HUF_Labourday;20180501;00:00;Labour day;Hungary;HUF;0
CZK_LabourDay;20180501;00:00;Labour Day;Czech Republic;CZK;0
NOK_LabourDay;20180501;00:00;Labour Day;Norway;NOK;0
PLN_LabourDay;20180501;00:00;Labour Day ;Poland;PLN;0
IDR_LabourDay;20180501;00:00;Labour Day;Indonesia;IDR;0
ARS_LabourDay;20180501;00:00;Labour Day;Argentina;ARS;0
RUB_LabourDay;20180501;00:00;Labour Day;Russia;RUB;0
CHF_LabourDay;20180501;00:00;Labour Day;Switzerland;CHF;0
EUR_ItaLabourDay;20180501;00:00;Labour Day ;Italy;EUR;0
EUR_SpaLabourDay;20180501;00:00;Labour Day;Spain;EUR;0
SEK_LabourDay;20180501;00:00;Labour Day;Sweden;SEK;0
COP_LabourDay;20180501;00:00;Labour Day;Colombia;COP;0
RON_LaborDay;20180501;00:00;Labor Day;Romania;RON;0
CNY_LabourDay;20180501;00:00;Labour Day;China;CNY;0
EUR_AusLabourDay;20180501;00:00;Labour Day;Austria;EUR;0
EUR_SloLabourDay;20180501;00:00;Labour Day;Slovakia;EUR;0
BRL_LabourDay;20180501;00:00;Labour Day;Brazil;BRL;0
EUR_BelLabourDay;20180501;00:00;Labour Day;Belgium;EUR;0
CLP_LabourDay;20180501;00:00;Labour Day;Chile;CLP;0
KRW_TradeBalance;20180501;00:00;Trade Balance;South Korea;KRW;1
ISK_MayDay;20180501;00:00;May Day ;Iceland;ISK;0
HKD_LabourDay;20180501;00:00;Labour Day;Hong Kong SAR;HKD;0
TRY_LabourDay;20180501;00:00;Labour Day;Turkey;TRY;0
MXN_LabourDay;20180501;00:00;Labour Day ;Mexico;MXN;0
