GBP_BRCShopPriceIndex;20160705;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
USD_CentralBankSpeech;20160705;18:30;Fed Dudley speech;United States;USD;1
USD_Auction;20160705;17:00;4-Week Bill Auction;United States;USD;1
NZD_GDTPriceIndex;20160705;14:30;GDT Price Index;New Zealand;NZD;1
USD_FactoryOrders;20160705;14:00;Factory Orders (MoM);United States;USD;2
USD_IBDTIPPEconomicOptimism;20160705;14:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
USD_ISMNYBusinessConditionsIndex;20160705;13:45;ISM-NY Business Conditions Index;United States;USD;1
CLP_IMACEC;20160705;11:30;IMACEC;Chile;CLP;1
RUB_ConsumerPriceIndex;20160705;11:00;Consumer Price Index (MoM);Russia;RUB;1
GBP_CentralBankSpeech;20160705;10:00;BoE Governor Carney speech;United Kingdom;GBP;3
GBP_FinancialStabilityReport;20160705;09:30;Financial Stability Report;United Kingdom;GBP;2
EUR_EurRetailSales;20160705;09:00;Retail Sales (MoM);European Monetary Union;EUR;1
GBP_MarkitServicesPMI;20160705;08:30;Markit Services PMI;United Kingdom;GBP;1
BRL_FipeIPCInflation;20160705;08:11;Fipe IPC Inflation;Brazil;BRL;1
EUR_EurMarkitPMIComposite;20160705;08:00;Markit PMI Composite;European Monetary Union;EUR;2
EUR_EurMarkitServicesPMI;20160705;08:00;Markit Services PMI;European Monetary Union;EUR;2
EUR_GerMarkitPMIComposite;20160705;07:55;Markit PMI Composite;Germany;EUR;1
EUR_GerMarkitServicesPMI;20160705;07:55;Markit Services PMI;Germany;EUR;1
EUR_FraMarkitPMIComposite;20160705;07:50;Markit PMI Composite;France;EUR;1
EUR_FraMarkitServicesPMI;20160705;07:50;Markit Services PMI;France;EUR;1
EUR_ItaMarkitServicesPMI;20160705;07:45;Markit Services PMI;Italy;EUR;1
RUB_PurchasingManagerIndexServices;20160705;07:39;Purchasing Manager Index Services;Russia;RUB;1
SEK_IndustrialProduction;20160705;07:30;Industrial Production (YoY);Sweden;SEK;1
SEK_NewOrdersManufacturing;20160705;07:30;New Orders Manufacturing (YoY);Sweden;SEK;1
EUR_SpaMarkitServicesPMI;20160705;07:15;Markit Services PMI;Spain;EUR;2
EUR_IrePurchasingManagerIndexServices;20160705;07:00;Purchasing Manager Index Services;Ireland;EUR;1
HUF_RetailSales;20160705;07:00;Retail Sales (YoY);Hungary;HUF;1
AUD_RBARateStatement;20160705;04:30;RBA Rate Statement;Australia;AUD;3
AUD_RBAInterestRateDecision;20160705;04:30;RBA Interest Rate Decision;Australia;AUD;3
CNY_CaixinServicesPMI;20160705;01:45;Caixin Services PMI;China;CNY;2
AUD_RetailSales;20160705;01:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_Imports;20160705;01:30;Imports;Australia;AUD;2
AUD_TradeBalance;20160705;01:30;Trade Balance;Australia;AUD;2
AUD_Exports;20160705;01:30;Exports;Australia;AUD;2
NZD_ANZCommodityPrice;20160705;01:00;ANZ Commodity Price;New Zealand;NZD;1
JPY_MarkitServicesPMI;20160705;00:35;Markit Services PMI;Japan;JPY;1
EUR_SloStCyrilandMethodiusDay;20160705;00:00;St Cyril and Methodius Day;Slovakia;EUR;0
CZK_StCyrilandMethodiusDay;20160705;00:00;St Cyril and Methodius Day;Czech Republic;CZK;0
