JPY_BankLending;20171011;23:50;Bank Lending (YoY);Japan;JPY;1
JPY_DomesticCorporateGoodsPriceIndex;20171011;23:50;Domestic Corporate Goods Price Index (YoY);Japan;JPY;1
GBP_RICSHousingPriceBalance;20171011;23:01;RICS Housing Price Balance;United Kingdom;GBP;2
NZD_FoodPriceIndex;20171011;21:45;Food Price Index (MoM);New Zealand;NZD;1
USD_APIWeeklyCrudeOilStock;20171011;20:30;API Weekly Crude Oil Stock;United States;USD;1
EUR_EurCentralBankSpeech;20171011;18:50;ECB Praet speech;European Monetary Union;EUR;2
USD_CentralBankSpeech;20171011;18:40;Fed Williams speech;United States;USD;2
USD_FOMCMinutes;20171011;18:00;FOMC Minutes;United States;USD;3
USD_Auction;20171011;17:00;3-Year Note Auction;United States;USD;1
USD_JOLTSJobOpenings;20171011;14:00;JOLTS Job Openings;United States;USD;1
BRL_RetailSales;20171011;12:00;Retail Sales (MoM);Brazil;BRL;1
INR_M3MoneySupply;20171011;11:30;M3 Money Supply;India;INR;1
USD_MBAMortgageApplications;20171011;11:00;MBA Mortgage Applications;United States;USD;1
TRY_CurrentAccount;20171011;09:00;Current Account Balance;Turkey;TRY;1
EUR_SpaHICP;20171011;07:00;HICP (YoY);Spain;EUR;1
EUR_SpaConsumerPriceIndex;20171011;07:00;Consumer Price Index (MoM);Spain;EUR;1
RON_ConsumerPriceIndex;20171011;06:00;Consumer Price Index;Romania;RON;1
JPY_MachineToolOrders;20171011;06:00;Machine Tool Orders (YoY);Japan;JPY;1
