KRW_ConsumerSentimentIndex;20160726;21:00;Consumer Sentiment Index;South Korea;KRW;1
USD_APIWeeklyCrudeOilStock;20160726;20:30;API Weekly Crude Oil Stock;United States;USD;1
ARS_TradeBalance;20160726;19:00;Trade Balance (MoM);Argentina;ARS;1
USD_Auction;20160726;17:00;5-Year Note Auction;United States;USD;1
USD_ConsumerConfidence;20160726;14:00;Consumer Confidence;United States;USD;2
USD_NewHomeSales;20160726;14:00;New Home Sales (MoM);United States;USD;2
USD_NewHomeSalesChange;20160726;14:00;New Home Sales Change (MoM);United States;USD;2
USD_RichmondFedManufacturingIndex;20160726;14:00;Richmond Fed Manufacturing Index;United States;USD;1
USD_MarkitServicesPMI;20160726;13:45;Markit Services PMI;United States;USD;2
USD_MarkitPMIComposite;20160726;13:45;Markit PMI Composite;United States;USD;2
BRL_CurrentAccount;20160726;13:30;Current Account;Brazil;BRL;1
USD_S&PCaseShillerHomePriceIndices;20160726;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;2
MXN_TradeBalance;20160726;13:00;Trade Balance, $;Mexico;MXN;1
MXN_TradeBalancesa;20160726;13:00;Trade Balance s/a, $;Mexico;MXN;1
EUR_BelLeadingIndicator;20160726;13:00;Leading Indicator;Belgium;EUR;1
USD_RedbookIndex;20160726;12:55;Redbook Index (MoM);United States;USD;1
HUF_MNBInterestRateDecision;20160726;12:00;MNB Interest Rate Decision;Hungary;HUF;1
GBP_BBAMortgageApprovals;20160726;08:30;BBA Mortgage Approvals;United Kingdom;GBP;1
SEK_ProducerPriceIndex;20160726;07:30;Producer Price Index (MoM);Sweden;SEK;1
TRY_ManufacturingConfidence;20160726;07:00;Manufacturing Confidence;Turkey;TRY;1
EUR_SpaProducerPriceIndex;20160726;07:00;Producer Price Index (YoY);Spain;EUR;1
EUR_FinUnemploymentRate;20160726;06:00;Unemployment Rate;Finland;EUR;1
SGD_IndustrialProduction;20160726;05:00;Industrial Production (YoY);Singapore;SGD;1
