EUR_EurEULeadersSpecialSummit;20150622;17:00;EU Leaders Special Summit;European Monetary Union;EUR;3
USD_Auction;20150622;15:30;6-Month Bill Auction;United States;USD;1
USD_ExistingHomeSalesChange;20150622;14:00;Existing Home Sales Change (MoM);United States;USD;1
USD_ExistingHomeSales;20150622;14:00;Existing Home Sales (MoM);United States;USD;1
EUR_EurConsumerConfidence;20150622;14:00;Consumer Confidence;European Monetary Union;EUR;1
BRL_CurrentAccount;20150622;13:30;Current Account;Brazil;BRL;1
MXN_RetailSales;20150622;13:00;Retail Sales (YoY);Mexico;MXN;1
USD_ChicagoFedNationalActivityIndex;20150622;12:30;Chicago Fed National Activity Index ;United States;USD;2
EUR_SloUnemploymentRate;20150622;12:30;Unemployment Rate;Slovakia;EUR;1
EUR_PorCurrentAccount;20150622;10:40;Current Account Balance;Portugal;EUR;1
EUR_EurEurogroupMeeting;20150622;10:30;Eurogroup Meeting;European Monetary Union;EUR;3
EUR_GreCurrentAccount;20150622;09:00;Current Account (YoY);Greece;EUR;1
HKD_ConsumerPriceIndex;20150622;08:30;Consumer Price Index;Hong Kong SAR;HKD;1
TRY_ConsumerConfidence;20150622;07:00;Consumer Confidence;Turkey;TRY;1
DKK_ConsumerConfidence;20150622;07:00;Consumer Confidence;Denmark;DKK;1
DKK_RetailSales;20150622;07:00;Retail Sales (YoY);Denmark;DKK;1
JPY_BoJMonthlyEconomicSurvey;20150622;05:00;BoJ Monthly Economic Survey;Japan;JPY;1
