JPY_NationalCPIexFreshFood;20190620;23:50;National CPI ex-Fresh Food (YoY);Japan;JPY;2
JPY_NationalCPIexFoodEnergy;20190620;23:50;National CPI ex Food, Energy (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20190620;23:50;National Consumer Price Index (YoY);Japan;JPY;2
GBP_CentralBankSpeech;20190620;20:00;BoE Governor Carney speech;United Kingdom;GBP;3
COP_TradeBalance;20190620;17:00;Trade Balance;Colombia;COP;1
USD_Auction;20190620;15:30;4-Week Bill Auction;United States;USD;1
USD_EIANaturalGasStorageChange;20190620;14:30;EIA Natural Gas Storage Change;United States;USD;1
EUR_EurConsumerConfidence;20190620;14:00;Consumer Confidence;European Monetary Union;EUR;1
EUR_BelConsumerConfidenceIndex;20190620;13:00;Consumer Confidence Index;Belgium;EUR;1
RUB_CentralBankReserves;20190620;13:00;Central Bank Reserves $;Russia;RUB;1
RUB_UnemploymentRate;20190620;13:00;Unemployment Rate;Russia;RUB;1
USD_CurrentAccount;20190620;12:30;Current Account;United States;USD;1
USD_JoblessClaims;20190620;12:30;Continuing Jobless Claims;United States;USD;2
CAD_ADPEmploymentChange;20190620;12:30;ADP Employment Change;Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20190620;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
GBP_BoEAssetPurchaseFacility;20190620;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20190620;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_BoEMPCVoteHike;20190620;11:00;BoE MPC Vote Hike;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20190620;11:00;Bank of England Minutes;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20190620;11:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20190620;11:00;BoE MPC Vote Cut;United Kingdom;GBP;3
EUR_EurEconomicBulletin;20190620;09:00;Economic Bulletin;European Monetary Union;EUR;2
EUR_SpaAuction;20190620;08:40;3-y Bond Auction;Spain;EUR;1
GBP_RetailSales;20190620;08:30;Retail Sales (MoM);United Kingdom;GBP;2
EUR_SloUnemploymentRate;20190620;08:30;Unemployment Rate;Slovakia;EUR;1
EUR_GreCurrentAccount;20190620;08:30;Current Account (YoY);Greece;EUR;1
NOK_NorgesBankInterestRateDecision;20190620;08:00;Norges Bank Interest Rate Decision;Norway;NOK;1
TRY_ConsumerConfidence;20190620;07:00;Consumer Confidence;Turkey;TRY;1
IDR_BankIndonesiaRate;20190620;07:00;Bank Indonesia Rate;Indonesia;IDR;1
EUR_FraGrossDomesticProduct;20190620;06:45;Gross Domestic Product (QoQ);France;EUR;1
JPY_BoJPressConference;20190620;06:00;BoJ Press Conference;Japan;JPY;3
DKK_ConsumerConfidence;20190620;06:00;Consumer Confidence;Denmark;DKK;1
CHF_TradeBalance;20190620;06:00;Trade Balance;Switzerland;CHF;1
CHF_Exports;20190620;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20190620;06:00;Imports (MoM);Switzerland;CHF;1
EUR_NetUnemploymentRate;20190620;04:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
EUR_NetConsumerSpendingVolume;20190620;04:30;Consumer Spending Volume;Netherlands, The;EUR;1
EUR_NetConsumerConfidenceAdj;20190620;04:30;Consumer Confidence Adj;Netherlands, The;EUR;1
JPY_AllIndustryActivityIndex;20190620;04:30;All Industry Activity Index (MoM);Japan;JPY;2
AUD_CentralBankSpeech;20190620;02:35;RBA Governor Lowe speech;Australia;AUD;3
JPY_BoJMonetaryPolicyStatement;20190620;02:00;BoJ Monetary Policy Statement ;Japan;JPY;3
JPY_BoJInterestRateDecision;20190620;02:00;BoJ Interest Rate Decision;Japan;JPY;3
AUD_RBABulletin;20190620;01:30;RBA Bulletin;Australia;AUD;2
BRL_CorpusChristi;20190620;00:00;Corpus Christi ;Brazil;BRL;0
EUR_AusCorpusChristi;20190620;00:00;Corpus Christi ;Austria;EUR;0
EUR_PorCorpusChristi;20190620;00:00;Corpus Christi;Portugal;EUR;0
ARS_FlagDay;20190620;00:00;Flag Day;Argentina;ARS;0
