AUD_AiGPerformanceofServicesIndex;20160503;23:30;AiG Performance of Services Index;Australia;AUD;1
GBP_BRCShopPriceIndex;20160503;23:01;BRC Shop Price Index (YoY);United Kingdom;GBP;1
NZD_EmploymentChange;20160503;22:45;Employment Change;New Zealand;NZD;2
NZD_ParticipationRate;20160503;22:45;Participation Rate;New Zealand;NZD;2
NZD_UnemploymentRate;20160503;22:45;Unemployment Rate;New Zealand;NZD;2
NZD_LabourCostIndex;20160503;22:45;Labour Cost Index (YoY);New Zealand;NZD;1
KRW_FXReserves;20160503;22:00;FX Reserves;South Korea;KRW;1
USD_APIWeeklyCrudeOilStock;20160503;20:30;API Weekly Crude Oil Stock;United States;USD;1
USD_TotalVehicleSales;20160503;19:38;Total Vehicle Sales;United States;USD;1
CAD_CentralBankSpeech;20160503;16:30;BoC Governor Poloz speech;Canada;CAD;3
USD_Auction;20160503;15:30;4-Week Bill Auction;United States;USD;1
USD_CentralBankSpeech;20160503;14:30;Fed Mester speech;United States;USD;1
NZD_GDTPriceIndex;20160503;14:29;GDT Price Index;New Zealand;NZD;1
DKK_CurrencyReserves;20160503;14:00;Currency Reserves;Denmark;DKK;1
USD_IBDTIPPEconomicOptimism;20160503;14:00;IBD/TIPP Economic Optimism (MoM);United States;USD;1
USD_ISMNYBusinessConditionsIndex;20160503;13:45;ISM-NY Business Conditions Index;United States;USD;1
SGD_PurchasingManagersIndex;20160503;13:00;Purchasing Managers Index;Singapore;SGD;1
BRL_IndustrialOutput;20160503;12:00;Industrial Output (YoY);Brazil;BRL;1
EUR_EurEuropeanCommissionreleasesEconomicGrowthForecasts;20160503;10:00;European Commission releases Economic Growth Forecasts;European Monetary Union;EUR;2
AUD_BudgetRelease;20160503;09:30;Budget Release;Australia;AUD;3
BRL_FipeIPCInflation;20160503;09:21;Fipe IPC Inflation;Brazil;BRL;1
ZAR_TotalNewVehicleSales;20160503;09:00;Total New Vehicle Sales;South Africa;ZAR;1
EUR_EurProducerPriceIndex;20160503;09:00;Producer Price Index (MoM);European Monetary Union;EUR;1
GBP_MarkitManufacturingPMI;20160503;08:30;Markit Manufacturing PMI;United Kingdom;GBP;2
SEK_IndustrialProduction;20160503;07:30;Industrial Production (YoY);Sweden;SEK;1
SEK_NewOrdersManufacturing;20160503;07:30;New Orders Manufacturing (YoY);Sweden;SEK;1
TRY_ProducerPriceIndex;20160503;07:00;Producer Price Index (YoY);Turkey;TRY;1
TRY_ConsumerPriceIndex;20160503;07:00;Consumer Price Index (MoM);Turkey;TRY;1
HUF_TradeBalance;20160503;07:00;Trade Balance;Hungary;HUF;1
RUB_HSBCManufacturingPMI;20160503;06:36;HSBC Manufacturing PMI	;Russia;RUB;1
CHF_SECOConsumerClimate;20160503;05:45;SECO Consumer Climate (3m);Switzerland;CHF;2
EUR_IrePurchasingManagerIndexManufacturing;20160503;05:00;Purchasing Manager Index Manufacturing;Ireland;EUR;1
AUD_RBARateStatement;20160503;04:30;RBA Rate Statement;Australia;AUD;3
AUD_RBAInterestRateDecision;20160503;04:30;RBA Interest Rate Decision;Australia;AUD;3
CNY_CaixinManufacturingPMI;20160503;01:45;Caixin Manufacturing PMI;China;CNY;2
AUD_BuildingPermits;20160503;01:30;Building Permits (MoM);Australia;AUD;1
JPY_ConstitutionDay;20160503;00:00;Constitution Day;Japan;JPY;0
PLN_ConstitutionDay;20160503;00:00;Constitution Day ;Poland;PLN;0
