JPY_DomesticCorporateGoodsPriceIndex;20170809;23:50;Domestic Corporate Goods Price Index (YoY);Japan;JPY;1
JPY_ForeignBondInvestment;20170809;23:50;Foreign Bond Investment;Japan;JPY;2
JPY_ForeignInvestmentinJapanStocks;20170809;23:50;Foreign Investment in Japan Stocks;Japan;JPY;2
JPY_MachineryOrders;20170809;23:50;Machinery Orders (MoM);Japan;JPY;2
GBP_RICSHousingPriceBalance;20170809;23:01;RICS Housing Price Balance;United Kingdom;GBP;2
NZD_RetailSales;20170809;22:45;Electronic Card Retail Sales  (MoM);New Zealand;NZD;2
NZD_RBNZPressConference;20170809;22:00;RBNZ Press Conference;New Zealand;NZD;3
NZD_RBNZInterestRateDecision;20170809;21:00;RBNZ Interest Rate Decision;New Zealand;NZD;3
NZD_RBNZRateStatement;20170809;21:00;RBNZ Rate Statement;New Zealand;NZD;3
NZD_MonetaryPolicyStatement;20170809;21:00;Monetary Policy Statement ;New Zealand;NZD;3
USD_Auction;20170809;17:00;10-Year Note Auction;United States;USD;1
USD_EIACrudeOilStocksChange;20170809;14:30;EIA Crude Oil Stocks Change;United States;USD;1
USD_WholesaleInventories;20170809;14:00;Wholesale Inventories;United States;USD;1
MXN_12MonthInflation;20170809;13:00;12-Month Inflation;Mexico;MXN;1
MXN_CoreInflation;20170809;13:00;Core Inflation;Mexico;MXN;1
MXN_HeadlineInflation;20170809;13:00;Headline Inflation;Mexico;MXN;1
USD_NonfarmProductivity;20170809;12:30;Nonfarm Productivity;United States;USD;2
USD_UnitLaborCosts;20170809;12:30;Unit Labor Costs;United States;USD;2
CAD_BuildingPermits;20170809;12:30;Building Permits (MoM);Canada;CAD;1
CAD_HousingStarts;20170809;12:15;Housing Starts s.a (YoY);Canada;CAD;2
BRL_IPCAInflation;20170809;12:00;IPCA Inflation;Brazil;BRL;1
USD_MBAMortgageApplications;20170809;11:00;MBA Mortgage Applications;United States;USD;1
EUR_PorGlobalTradeBalance;20170809;10:00;Global Trade Balance;Portugal;EUR;1
EUR_PorUnemploymentRate;20170809;10:00;Unemployment Rate;Portugal;EUR;1
EUR_GreConsumerPriceIndex;20170809;09:00;Consumer Price Index (YoY);Greece;EUR;1
EUR_ItaIndustrialOutput;20170809;08:00;Industrial Output w.d.a (YoY);Italy;EUR;1
EUR_SloForeignTradeBalance;20170809;07:00;Foreign Trade Balance;Slovakia;EUR;1
CZK_ConsumerPriceIndex;20170809;07:00;Consumer Price Index (YoY);Czech Republic;CZK;1
DKK_TradeBalance;20170809;07:00;Trade Balance;Denmark;DKK;1
DKK_CurrentAccount;20170809;07:00;Current Account;Denmark;DKK;1
RON_TradeBalance;20170809;06:00;Trade Balance;Romania;RON;1
JPY_MachineToolOrders;20170809;06:00;Machine Tool Orders (YoY);Japan;JPY;1
EUR_NetManufacturingOutput;20170809;04:30;Manufacturing Output (MoM);Netherlands, The;EUR;1
KRW_MoneySupplyGrowth;20170809;03:00;Money Supply Growth;South Korea;KRW;1
AUD_InvestmentLendingforHomes;20170809;01:30;Investment Lending for Homes;Australia;AUD;2
AUD_HomeLoans;20170809;01:30;Home Loans;Australia;AUD;2
CNY_ConsumerPriceIndex;20170809;01:30;Consumer Price Index (YoY);China;CNY;2
CNY_ProducerPriceIndex;20170809;01:30;Producer Price Index (YoY);China;CNY;2
AUD_WestpacConsumerConfidence;20170809;00:30;Westpac Consumer Confidence;Australia;AUD;2
SGD_NationalDay;20170809;00:00;National Day;Singapore;SGD;0
ZAR_NationalWomen’sDay;20170809;00:00;National Women’s Day;South Africa;ZAR;0
